spu_code,country,product_id
S230626003465,DE,1729528222893447854
S240416006999,ES,1729514213125101955
S230714002421,DE,1729519026527247022
S240318006366,DE,1729494526754331370
S230627004187,ES,1729520094194080430
S231127003544,DE,1729506955455077112
S230922006110,GB,1729401426742513326
S240329007225,ES,1729487754286439160
S230812001994,DE,1729519034399562414
S231117003326,GB,1729402764956307312
S230627005609,GB,1729400444403945163
S240123000225,DE,1729537161921600174
S240517002807,DE,1729481945356868427
S230626003430,DE,1729519039083420334
S240619007543,GR,1729841703810341543
S240627002082,GR,1729841489576827150
S230608000849,DE,1729525378132187822
S240125000529,IT,1729541631591881496
S240229005984,GB,1729405246786669630
S240329007225,GB,1729406610987716344
S240626001899,ES,1729547989242845383
S240502000465,DE,1729481560490351435
S240605006911,ES,1729504095902538414
S240318006366,ES,1729551285476236010
S230722001297,ES,1729518660458748590
S240424001858,DE,1729480473082173703
S240704005317,HU,1729851471344933605
S231031002089,HU,1729848414723676916
S240612006904,AT,1729847949233789688
S240313006988,BE,1729855994748508532
S240416006597,BE,1729854486369180035
S240510005500,CZ,1729847914772798460
S240514002232,CZ,1729836134266607815
S231117003326,HU,1729848881030667120
S240614004093,CZ,1729851763664984549
S240704005317,AT,1729851472479230693
S240617001899,AT,1729849034487011518
S240621002828,AT,1729848309509102331
S230623001927,CZ,1729849186966280948
S240516000802,DE,1729481196012804295
S230627005609,DE,1729503830948026482
S240510005500,AT,1729847917332896764
S240621002668,AT,1729847488676535035
S230519000492,AT,1729848620661840632
S240607001889,AT,1729836771560954055
S231201004174,CZ,1729850205978073848
S240612006904,CZ,1729847949228677880
S230708003072,CZ,1729873151525559035
S240606005457,DE,1729509203776936696
S240702005997,AT,1729848042608761219
S240516000769,CZ,1729835721311164615
S240621002668,IT,1729488795701648123
S240513003054,CZ,1729835720301058247
S230710004568,DE,1729864992906058520
S240617006065,ES,1729481944910633898
S231017002072,ES,1729536076641508014
S230629000118,MX,1732129701990665057
S240417002211,BE,1729855098830756600
S240627001374,CZ,1729846558348385030
S230714007059,CZ,1729851497850640828
S240613007638,AT,1729890524949879463
S240229004366,DE,1729489169847851278
S230919003175,ES,1729501380753594957
S240621002668,BE,1729851767706589947
S240125000529,BE,1729846717752187672
S240627001374,BE,1729846558288616198
S230623001927,BE,1729849183779003124
S240313006988,GB,1729405210383912308
S240126001171,AT,1729846436471282075
S240626001899,AT,1729836133402646727
S240626001899,CZ,1729836132833794247
S240531001414,IT,1729480248749889735
S240408000462,IT,1729480027799656718
S240617006065,IT,1729481945495542698
S230608000849,GB,1729399962611388107
S240611002679,GB,1729411128591224494
S231024005191,ES,1729507538239069025
S240513003054,AT,1729835721293207751
S240429000737,DE,1729527541703154350
S240531001414,CZ,1729836119976417479
